Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2015-01-01,359.9809875488281,361.36664733557,356.7903133165514,358.98730707694995,2002764
2015-01-02,367.05523681640625,368.1218516746889,359.5434852760716,359.5434852760716,6778320
2015-01-05,363.9010009765625,370.1182538936478,360.5462300860535,366.45354065858766,9937024
2015-01-06,356.29803466796875,361.91363037942995,352.6333217536894,361.00200914421725,9667316
2015-01-07,358.0028381347656,360.0448611068284,355.5323353124777,358.26719943026603,7249916
2015-01-08,359.8078308105469,364.1015763799739,355.53233547368507,362.0230751982361,13564920
2015-01-09,378.2225646972656,384.52187699005304,348.79544597027177,361.02027465161825,44863328
2015-01-12,385.7890319824219,386.38158586265354,378.3228619940553,381.422374598344,12758888
2015-01-13,380.857177734375,384.30313339779804,378.3228880005853,384.30313339779804,8801236
2015-01-14,388.1045227050781,388.89765105029846,381.53176866673266,382.60746400799405,9921260
2015-01-15,389.1256103515625,392.5077347851084,385.1144760290912,389.2988095220252,8342452
2015-01-16,386.217529296875,393.82044283233546,385.0688774360613,391.6325514832669,6690960
2015-01-19,383.3367919921875,388.7791894600593,381.89644801049684,386.52746683635553,4087744
2015-01-20,387.2932434082031,388.8977060440839,383.1453658589753,384.1572745592522,6804504
2015-01-21,395.6254577636719,396.7285286170943,386.162844948925,388.62422285582323,8494908
2015-01-22,400.4661865234375,401.6604195513023,394.0575053965297,396.51888336472877,9958396
2015-01-23,403.8573913574219,405.67150897816504,394.7503027887566,401.1134021357138,9486328
2015-01-27,389.5357971191406,404.9421977072836,388.36893961342696,404.9421977072836,13739968
2015-01-28,391.00347900390625,392.8723025652776,388.4053584429754,391.9971372632549,13134356
2015-01-29,391.1767578125,391.9789668703046,387.9131708798556,391.0855956689874,15369424
2015-01-30,390.5202941894531,394.28531666847243,387.7945555480861,394.09386730297035,10833744
2015-02-02,389.5996398925781,392.3618348186549,387.6305288450251,390.44742995545977,8702540
