Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2015-01-01,750.9713134765625,758.0955739861962,747.2264705661619,754.8987854211941,587479
2015-01-02,754.67041015625,758.5522246714258,752.6153318835098,752.6153318835098,710310
2015-01-05,755.1271362304688,758.7349516595234,753.0264005843006,754.533424619618,792287
2015-01-06,738.5037841796875,753.1633313939535,734.0739710852978,751.7019646972138,1709888
2015-01-07,739.6454467773438,744.577656619966,730.694450903291,739.0060779832909,1730518
2015-01-08,747.86572265625,749.8751434471551,743.8469368219996,744.3949353342648,943536
2015-01-09,758.14111328125,763.5756641456743,748.9617758366662,748.9617758366662,1766875
2015-01-12,762.9364013671875,764.7174804017812,758.1868758574599,760.3333244495586,1188646
2015-01-13,760.9269409179688,770.3346769349798,754.5790772284702,764.5347560582476,838422
2015-01-14,749.5556640625,765.174238575943,746.2218477070074,759.0090029920724,996066
2015-01-15,754.3507690429688,761.6577141621739,748.4138761336146,754.4420835579319,2224116
2015-01-16,776.1343994140625,780.3815825924904,754.624595787226,757.0907003505856,2005202
2015-01-19,788.2367553710938,791.1138874956365,779.194387906163,780.9298097824858,1382755
2015-01-20,796.7308959960938,798.740316747486,780.4729567303908,790.0633207393657,2053198
2015-01-21,809.1986083984375,811.0710021525407,797.3704784675316,799.1972149588662,2358508
2015-01-22,840.3444213867188,847.011998256893,808.6048756765572,808.6048756765572,4797782
2015-01-23,846.5095825195312,857.3786857040368,838.4719540226403,841.6687425183693,2835629
2015-01-27,834.818359375,858.5202703339005,822.944575270104,858.4746130830089,2261868
2015-01-28,830.936767578125,852.2638939715375,814.7244810988595,835.7319509029782,1939863
2015-01-29,840.1160888671875,852.1725606823037,813.8110949281164,822.0314090182994,2668139
2015-01-30,838.24365234375,847.4229914596184,831.6217329980761,843.4955194110086,1873464
2015-02-02,848.6102294921875,861.8084089103286,842.1253386626817,844.8654428014972,1750030
2015-02-03,859.7078857421875,865.5534649801285,839.4310989608248,854.9127023157371,2275229
2015-02-04,875.874267578125,882.2678436717695,864.046140655371,865.4161926754376,2769365
2015-02-05,876.4222412109375,882.2221613797983,868.6129560677266,876.8332679548029,1850360
2015-02-06,846.5552368164062,879.4822028053121,840.5270294017125,875.6917027317488,3120503
2015-02-09,859.8905639648438,866.0557997516656,836.5083029396114,846.5096965877486,1350099
2015-02-10,839.8876953125,860.3928220186147,832.078408555157,860.3928220186147,1515424
2015-02-11,845.641845703125,855.8259224690994,840.4813493096682,844.6828203333291,1046438
2015-02-12,843.5867919921875,851.441791446471,839.385320846282,849.1127138384676,778562
2015-02-13,859.0684204101562,869.5264970972366,847.6056610359617,847.6056610359617,2046667
2015-02-16,835.5035400390625,850.2544583989056,828.6989359698536,838.4719866147683,2869370
2015-02-18,838.289306640625,847.1489891592438,832.7634402867283,840.207413272169,1309654
2015-02-19,837.2846069335938,846.5096030892616,830.7540022631731,842.7648159165811,1190354
2015-02-20,834.087646484375,841.7599040310366,831.1648578128842,835.5490129463419,1146633
2015-02-23,829.931884765625,843.9520617610071,825.9130431248817,834.8183814389183,2440626
2015-02-24,831.5760498046875,834.7271810962851,826.5981821988383,828.4249185130899,1469026
2015-02-25,813.5827026367188,835.4122243385167,809.6095733708071,834.3618286372637,1407691
2015-02-26,790.7028198242188,816.7794693974299,785.6792949914696,812.9889692700557,2614022
2015-02-27,802.7593994140625,807.3262407903,793.3060043167055,794.7674270056468,2160310
2015-03-02,845.0482788085938,851.2591714853676,830.6170722440858,833.0831218123488,2019863
