Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-01-01,189.12538146972656,189.99869740526844,188.22011599157378,188.78458634854346,2963643
2015-01-02,188.6248016357422,190.86134044216575,188.35855547947352,189.16795801328362,7331366
2015-01-05,186.55870056152344,189.76440426058238,186.185941672097,188.50767957176805,10103941
2015-01-06,178.09182739257812,185.95164240953517,177.21851145319286,185.31263733574957,18627980
2015-01-07,181.96847534179688,182.92699000748544,178.2835287555138,178.30482844947335,20720312
2015-01-08,179.3592071533203,183.80032169437555,178.9544987145511,183.20390177473905,19872227
2015-01-09,183.24649047851562,183.60859950458453,179.9875519001595,180.71175573354262,13392787
2015-01-12,181.11648559570312,183.3956242759867,179.2633692943345,183.28912579063615,10100113
2015-01-13,179.59347534179688,182.10691014044292,179.0290192740664,181.69155191961207,9948711
2015-01-14,177.8468475341797,180.41353141415266,177.04808067772956,179.56151532977282,11380041
2015-01-15,184.08782958984375,185.54690110657066,178.9225122393432,178.9225122393432,16927085
2015-01-16,185.2487030029297,186.37761506952876,181.48919377111537,183.18256187101397,19136963
2015-01-19,187.3681182861328,188.72067739199645,182.91635394433047,185.35524018025546,13339962
2015-01-20,192.3523712158203,192.88487777380465,187.1976889657768,187.76215928286896,13361320
2015-01-21,193.14048767089844,194.13095192898646,190.00934718363794,192.76774300724009,17084297
2015-01-22,188.24143981933594,193.23636076478942,187.3361742935064,192.79970277402143,23721627
2015-01-23,188.91236877441406,191.2340922189943,186.8036422628214,189.57267348542948,18080494
2015-01-27,189.37033081054688,190.9998000421227,187.54915011606235,190.19038324040642,17939876
2015-01-28,193.16180419921875,193.79017369594132,188.74198911901985,188.74198911901985,19298126
2015-01-29,197.9650115966797,199.05132448698697,193.17243799972977,193.21503739003552,36117653
2015-01-30,194.95098876953125,198.3590389894597,193.61971537551548,198.09277862315537,21746801
2015-02-02,193.41741943359375,195.94150467339182,192.9168623251211,195.12143788464164,19302710
2015-02-03,199.71163940429688,200.4038937014132,194.51435748660288,194.51435748660288,17092333
2015-02-04,197.8372039794922,201.03224341239962,197.21949863079746,200.03112935050476,14072894
2015-02-05,196.7509002685547,200.20153619117158,195.45157620972603,199.3708338625809,12365643
2015-02-06,193.8114471435547,198.09279939514687,192.3417255986973,196.83608900941982,9045844
2015-02-09,190.9998016357422,195.53676442070753,189.99868758151854,191.9583163020205,8839692
2015-02-10,187.86866760253906,192.66122687571948,183.4595028337096,191.27671828360914,13651008
2015-02-11,191.85182189941406,192.71448796110394,188.08166223629144,188.72066728777244,9781008
2015-02-12,193.6516571044922,194.67407070736806,188.98689681871514,193.406710658622,8709626
2015-02-13,195.4302520751953,196.13315614514084,193.6303711872808,194.68473440157572,7393680
2015-02-16,192.29913330078125,196.85739596168185,191.70271340822947,195.68587009015613,12266698
2015-02-18,192.05413818359375,193.40671121879055,190.50986792933463,191.70267906322715,9835036
2015-02-19,192.13937377929688,193.32154951305245,189.0508326787285,193.18308727621294,9550637
2015-02-20,185.97293090820312,190.85070299548755,185.58952219951283,190.6909410725933,18717199
2015-02-23,181.3614044189453,186.75038293863392,180.43483937300792,185.30196121632125,14104463
2015-02-24,179.2313690185547,182.5009713840568,178.28351847326613,181.95781500065965,19946218
2015-02-25,179.59347534179688,182.43706959161682,179.14616758234467,180.79695061946094,15274116
2015-02-26,179.34852600097656,181.0525440230303,178.19829997280607,180.22182759469933,21459750
2015-02-27,182.23471069335938,183.39558660147352,179.90233746829074,180.53069262153386,18659378
2015-03-02,184.08782958984375,186.48411596539907,182.23469956358062,185.09959336855016,14579511
2015-03-03,191.87310791015625,193.0765689968071,184.75881141726984,185.099606503753,20636925
2015-03-04,189.1147003173828,193.75817526240309,187.45328172037026,192.98070808339077,14476047
2015-03-05,188.4969940185547,191.43643674872663,187.048572344901,190.10516337795056,10716702
2015-03-09,185.23806762695312,189.9454422799333,184.0665559966888,188.5289699451565,14065391
2015-03-10,183.0015411376953,186.54803975590264,182.2027741670949,185.08896804585885,15234060
2015-03-11,182.31993103027344,185.22741029401843,181.56376347163638,183.38494414542797,11635873
2015-03-12,183.99200439453125,184.7588218197999,182.24537260294952,182.75659369896488,11782380
2015-03-13,181.0738525390625,185.22740644561915,180.41354783388658,185.0996082869568,12936157
2015-03-16,179.36985778808594,181.89394284407442,178.98644904342495,181.3720860761698,13839990
2015-03-17,182.51161193847656,183.16126675245445,179.13551128120127,181.16968870847458,19070082
2015-03-18,185.02505493164062,185.79187230276494,182.0536625013523,182.5435696499169,9269885
2015-03-19,182.36253356933594,186.73973442015077,181.92587562519967,186.49478794005842,13934612
2015-03-20,181.92588806152344,183.42755924187512,180.7543621595169,182.7352907046087,10405717
2015-03-23,179.337890625,184.03460107470758,178.51782397653736,182.43708138411853,13251683
2015-03-24,180.61590576171875,181.96847901169176,179.36984520244596,179.36984520244596,9238431
2015-03-25,179.9662322998047,180.9460465781414,179.13551586681172,180.83954811718158,10264941
2015-03-26,176.6433868408203,180.8928035475393,175.53577437136974,179.15682169938287,20621346
2015-03-27,172.8945770263672,177.85754868867184,170.71128695764554,177.62323779943404,23326922
2015-03-30,172.6921844482422,174.17255580025198,169.64624297036656,173.938259172148,17330588
2015-03-31,175.94049072265625,177.4102122570868,174.23645833672006,174.23645833672006,20235395
2015-04-01,178.08116149902344,178.70951666860736,173.19273971095927,175.7061746080489,14588531
2015-04-06,175.65292358398438,178.4965179161862,174.96066934171316,178.07050983680634,12334096
2015-04-07,177.39955139160156,178.0918056186698,175.95112964102105,175.95112964102105,21275454
2015-04-08,184.43931579589844,185.20611901740634,177.41021754142855,177.53801570855407,24821205
2015-04-09,190.6589813232422,191.48969777779942,182.92697957554887,184.3541016457162,27276420
2015-04-10,192.62925720214844,193.57712195413177,189.38096878945564,190.62702923588105,25323219
2015-04-13,196.49530029296875,196.97455767782986,191.43648024096564,193.15114844707654,20177342
2015-04-15,196.74021911621094,200.13760526043478,193.23632029456007,196.17574884773205,22231264
2015-04-16,197.74136352539062,199.79684096944027,195.74978516638853,196.92129682977034,20177302
2015-04-17,197.4218292236328,201.13872507094774,196.51656386101575,199.16844665304706,23958678
2015-04-20,188.64610290527344,199.67965652585826,187.12313222242497,199.64770698683893,37628162
2015-04-21,186.68649291992188,190.74421274878952,185.83449090902553,189.60463642053566,17707007
2015-04-22,187.38941955566406,188.8804409139768,184.67362303583255,187.8473772329052,14761313
2015-04-23,186.81431579589844,189.44489934559965,185.11028324092572,188.262737780123,13337818
2015-04-24,187.2083740234375,188.39054989513906,185.0250981469382,186.80367976950603,12709854
2015-04-27,186.44154357910156,189.04017739917586,185.62147690419397,187.45330750431003,11042925
2015-04-28,184.2902069091797,187.86865490589847,182.87373465201406,186.31373464262947,14687371
2015-04-29,181.0525360107422,185.42975050669546,180.498729822614,183.60857004008471,16387960
2015-04-30,183.68313598632812,184.43930352903834,180.61589486678614,181.0525527941781,34802149
2015-05-04,189.77503967285156,190.4033948600845,183.28909805271562,184.50320903948798,15078502
2015-05-05,190.03062438964844,192.08610159530198,188.52895340893107,190.36078384285693,17846755
2015-05-06,187.49591064453125,191.01045983497983,185.7386289399295,189.57268777269337,22438208
2015-05-07,185.4723663330078,187.1124853516761,183.18257823977473,186.3776317237919,16735535
2015-05-08,191.89642333984375,192.76995821202658,185.72778790218808,187.86308256939228,17104443
2015-05-11,193.2444610595703,193.9993572179756,190.5375843595077,192.57582270446855,14214007
2015-05-12,187.36703491210938,193.01802368411657,186.60135456372754,193.01802368411657,16650201
2015-05-13,190.90428161621094,191.66997630196153,184.8866219879941,188.36996337123963,16701434
2015-05-14,189.4160614013672,191.14156342192567,187.71214183407145,191.09841291330102,12329713
2015-05-15,188.4993438720703,191.30327676661457,187.66895954705237,190.2140614430384,8331715
2015-05-18,192.29544067382812,192.82387231128982,188.12190770062074,188.70425946456854,9847540
2015-05-19,193.15821838378906,195.14253690631463,191.22781999525608,192.23076328331737,14513036
2015-05-20,196.02685546875,196.49058305202678,193.62194533183103,194.20431161624418,8708891
2015-05-21,193.4170379638672,197.43959520399088,192.84547013696726,196.54449217032317,10759523
2015-05-22,194.94839477539062,195.3258500817103,193.47094002587502,193.47094002587502,8349048
2015-05-25,192.93173217773438,195.84350569138246,192.4680046449134,194.11800387682104,6617337
2015-05-26,190.7964324951172,193.25526243964038,190.38662510471354,193.03956751937065,9510249
2015-05-27,190.94741821289062,192.15527239102204,189.84741869912585,191.0983945859448,8078236
2015-05-28,188.89837646484375,192.87779707844655,188.0787617267393,191.06602319333055,26538868
2015-05-29,189.15719604492188,191.19543434355322,188.31601330653854,189.78268388730837,29277517
2015-06-01,194.60328674316406,195.1748689004608,189.37289030516885,189.8042657306145,19594976
2015-06-02,193.82679748535156,198.17287446028456,192.2738547928691,195.35817212923968,20178960
2015-06-03,193.3307647705078,196.37194674588662,191.6376293522947,193.90233259451733,15546279
2015-06-04,196.8572235107422,197.6121197199217,192.51113150185242,195.02388152032302,15931395
2015-06-05,195.78958129882812,197.77389970365346,195.07780677654583,196.25330882155788,13066337
2015-06-08,190.97976684570312,196.27488221056336,190.47290320455636,195.58467572183218,10846953
2015-06-09,190.60231018066406,192.1013185295186,189.23269574065046,190.5699437060814,9153355
2015-06-10,195.36900329589844,196.25332229744495,190.88271852466946,191.09839906265654,13509379
2015-06-11,189.1895751953125,196.167041877973,188.4346645481308,195.4121312307913,14676438
2015-06-12,191.9287872314453,192.54349112834416,189.426821140758,189.5885959331306,21543824
2015-06-15,194.49545288085938,195.1964433694674,191.96113477120412,193.0179981192392,12858570
2015-06-16,194.96998596191406,195.19646493173866,192.65136251489682,193.90233846989864,13929305
2015-06-17,200.847412109375,203.25232167561262,192.82386713717577,195.2072086533977,26232634
2015-06-18,211.14646911621094,211.80430911799473,201.12782073185448,201.1386047581477,49366799
2015-06-19,214.96414184570312,217.06708468419822,211.9121758435785,211.9121758435785,45710935
