date,close,high,low,open,volume
2020-01-01,406.073974609375,408.0842646942593,403.22221154142096,404.81173660058977,2321850
2020-01-02,406.68182373046875,413.83463067847356,403.92353815577707,405.7935545361279,4555670
2020-01-03,415.70458984375,421.1276251866993,404.9052296130716,406.40124821828636,9457180
2020-01-06,411.3567810058594,415.798069005775,406.8219864991095,412.2450214853347,4794923
2020-01-07,417.3876647949219,418.88368365767946,409.1128363194005,412.712623682671,4504083
2020-01-08,411.4970397949219,417.4810854813231,410.4685252548731,414.161818387809,3881918
2020-01-09,411.2633361816406,415.93837688272964,410.46857355561866,413.92811508809814,3934566
2020-01-10,414.76959228515625,419.8186302382001,411.4035574717329,411.49706398708565,4334013
2020-01-13,415.70458984375,424.1664013865305,413.7878061971937,417.94860348448134,4823348
2020-01-14,417.0135803222656,420.28610841896506,415.5175617712241,417.94858834989407,2708589
2020-01-15,419.8653564453125,421.40814256620473,414.8163186459946,418.5096118836133,3054107
2020-01-16,419.8653564453125,426.6909323796964,418.3225988586017,422.8573936404097,4416809
2020-01-17,425.05462646484375,426.5973838997826,417.0135522614861,419.0705811975236,3216737
2020-01-20,420.2393493652344,426.5506532503674,417.15380590088404,424.68063728440205,2824739
2020-01-21,418.3226318359375,422.3899229100319,417.01362616020856,418.88364242101665,2573651
2020-01-22,417.2940673828125,424.3533950453629,416.40582688544777,419.257589929157,3412716
2020-01-23,420.6134338378906,422.81070875915015,416.078638475756,418.13566787740007,1875787
2020-01-24,418.6965637207031,423.41837115927365,417.7615557369283,420.7535926986795,2153164
2020-01-27,419.2575988769531,422.38988151366374,413.46056615709705,417.9485933295134,3530914
2020-01-28,423.46514892578125,432.4412320988864,418.9303540823404,419.1173671098937,9487290
2020-01-29,420.84710693359375,427.0649044330629,420.2393574398134,425.2883949380974,3103817
2020-01-30,413.3670959472656,424.2599348486646,411.6840642091741,422.1561665766878,3486193
2020-01-31,406.073974609375,416.4525694132773,404.53121707205264,413.83455835201386,3757229
2020-02-03,390.4126281738281,401.02497601769784,387.0933607693105,396.2564289100798,4032780
2020-02-04,397.9862060546875,399.15496622079087,386.0181133674623,389.8516524191182,4848610
2020-02-05,398.5472106933594,403.36249679900556,394.4799196691829,401.58598707987767,3826307
2020-02-06,402.6612243652344,409.53353946724025,396.44342633358417,400.3704716873538,7745520
2020-02-07,402.80145263671875,413.03980209902574,395.6954143526824,403.92347369955655,7402556
2020-02-10,392.9839172363281,404.62478021243953,391.1139009210771,400.69773453673855,3638523
2020-02-11,391.3476257324219,397.09794832908693,389.71136157042054,394.573415065469,4683072
2020-02-12,387.6543884277344,393.9189259725155,387.0933778254982,391.58140557501855,4439987
2020-02-13,391.72161865234375,392.79687216098563,385.2233015451313,387.65432808696085,3924569
2020-02-14,391.3476257324219,397.1446873200425,389.4308705563219,392.7033988803246,2862205
2020-02-17,384.6140441894531,394.1258077836414,383.57810441856896,391.9597754137577,2625157
2020-02-18,384.8494873046875,386.92136686564623,375.8086027280546,383.2955920040584,4187206
2020-02-19,380.0465393066406,390.07628789920443,377.2683696473473,386.49758922020436,5910512
2020-02-20,381.3649597167969,387.5334638667213,380.04647536520605,380.3290200434799,4000525
2020-02-24,374.678466796875,390.49999142150443,372.7478454428027,382.8246686347954,12668574
2020-02-25,366.2497253417969,378.9634599000708,362.8593903782218,378.9634599000708,10050971
2020-02-26,352.8768310546875,364.41336972453814,350.8049513893357,362.67111119778974,12146582
2020-02-27,365.8730163574219,367.9448956423889,347.9325363178194,353.1592821982837,15164166
2020-02-28,351.1816101074219,363.1419501670874,349.4864569251884,357.5384776510645,8439591
2020-03-02,347.9796447753906,361.30551716963305,342.1878377619415,355.98458924248354,6915567
2020-03-03,370.6289367675781,373.3129534482819,351.5112563572797,352.2175750237712,14474553
2020-03-04,381.8359069824219,388.8519889401213,364.790076327978,374.8197962845405,26369149
2020-03-05,381.3179016113281,390.64130234108336,378.3513689346124,386.07379791733996,9874059
2020-03-06,377.5508728027344,379.71693399961595,367.3327901470508,367.3327901470508,6500912
2020-03-09,370.4405517578125,380.3760881463312,363.0948213857641,372.98328136568693,13151861
2020-03-11,363.4716491699219,372.22999038888065,357.9152518746894,371.429490037857,9127352
2020-03-12,334.1357727050781,350.9932662079318,326.22501016875714,344.21259618241254,11662910
2020-03-13,361.8234558105469,379.4814193214694,306.0713675226574,321.1394963853113,15802632
2020-03-16,347.0849914550781,373.3129644590892,341.6698815189253,354.101101911905,14480298
2020-03-17,348.591796875,372.5595548974971,342.9883527504545,354.1010881703675,12903597
2020-03-18,341.6227722167969,363.8953469316895,334.4183280476485,361.0700724543625,12342300
2020-03-19,339.4096984863281,352.64142034889784,327.402279704452,331.2164182086875,8728092
2020-03-20,343.97723388671875,357.39729023958864,341.1048824441078,343.93015746576464,10630619
2020-03-23,305.6005554199219,334.0416663726404,296.70092836539555,324.9065997530756,8018903
2020-03-24,315.6302185058594,327.7318157253627,310.7801700843957,310.7801700843957,6408582
2020-03-25,327.4022216796875,330.36875416377416,310.35639307406,312.6637120840043,6174391
2020-03-26,318.5968322753906,346.5670662367684,316.52498118873746,343.741791240273,11670467
2020-03-27,318.5497131347656,331.96976756838103,313.60548255396,326.7900974361084,7745135
2020-03-30,313.3229064941406,323.96476068330753,293.828503875558,302.9164630711102,11648241
2020-03-31,331.7813415527344,334.3240997227517,309.13207249012186,320.29191086270487,9954142
2020-04-01,323.5409851074219,334.55956641941697,318.69093662024255,332.44061068558534,6702159
2020-04-03,354.0539855957031,367.09731289290767,320.19776883594864,323.91772499937855,28550430
2020-04-07,393.04278564453125,398.2224556803063,365.6846930296482,374.8197589524504,29675052
2020-04-08,411.26580810546875,422.613982661935,389.0873857545346,394.5966768475783,27810872
2020-04-09,427.9820251464844,446.2992048778427,417.5755798006338,427.9349199924141,31862948
2020-04-13,435.4219055175781,450.06623389696097,417.2930603341377,435.98696618042254,30510226
2020-04-15,423.037841796875,460.04893166060054,418.2348686968036,447.2410129738042,32508955
2020-04-16,436.6932678222656,440.3661188774911,423.0377745793719,423.7911696070465,16932965
2020-04-17,430.4776611328125,449.1715663763367,422.3314587883557,449.1715663763367,19774082
2020-04-20,445.8283386230469,447.33515753330033,424.3091574020931,430.7131305856253,17893064
2020-04-21,445.59283447265625,462.1207061939322,437.21119322087293,440.6015280924302,30021752
2020-04-22,446.7230224609375,454.304164721667,441.68461017887796,447.28808314736875,13336137
2020-04-23,449.6424560546875,459.436735411709,446.72299993879807,449.1715769630982,13748820
2020-04-24,457.2706298828125,468.05377152776197,445.9695327835506,449.1715332871491,23394027
2020-04-27,461.3673095703125,475.3995001852967,458.6362166973576,462.4032492780341,19310626
2020-04-28,446.3463134765625,466.54700976232397,442.90887303061817,466.1703122277516,12847910
2020-04-29,449.830810546875,456.70566283537306,445.59289853320996,448.27691522323386,10166496
2020-04-30,437.3996276855469,456.75274809321814,431.7019730683168,455.810989849727,18471206
2020-05-04,438.34136962890625,446.8642699194971,431.32525947972533,437.39961142043524,16097066
2020-05-05,429.7242736816406,444.98076867514646,427.55824122437355,442.43800992950196,7850482
2020-05-06,427.9349365234375,436.0340630979143,421.9076895634247,432.83209084479944,10829910
2020-05-07,425.86309814453125,438.5768346986095,423.97958161800113,435.09231762845627,11216033
2020-05-08,441.6845703125,443.944784114038,427.6052745388769,433.20874700159914,13693803
2020-05-11,436.83447265625,447.85302448151276,434.43297240984725,446.1107950994362,10294818
2020-05-12,436.8816223144531,441.4962317367259,428.7824960634265,437.91756208031336,9507971
2020-05-13,426.00439453125,442.1084680325596,423.97961983077585,441.6846652798209,10010310
2020-05-14,429.3946533203125,435.98696057498887,422.66105934660715,426.6164551954845,11764703
2020-05-15,422.4726867675781,432.1727836408819,419.6003073364247,429.3946145073513,7863358
2020-05-18,415.0328063964844,428.1232382457165,408.9584551520415,420.96587093370766,9067298
2020-05-19,415.9746398925781,429.44177167490716,413.0551835037694,417.95230926998835,10126393
2020-05-20,429.20623779296875,431.74899606257924,411.783713603896,414.27936672618756,7967084
2020-05-21,439.2831115722656,441.68458341887674,426.6164526412605,428.97084807526306,8987658
2020-05-22,442.061279296875,444.41567472212483,431.372318318205,439.80106543667085,10194204
2020-05-26,432.4082336425781,447.80598460249746,430.38345943920365,443.5680730762909,9801056
2020-05-27,424.6387634277344,437.8233781282462,417.57557698103165,437.8233781282462,13253937
2020-05-28,432.3612060546875,434.7626780279728,418.7998933875291,427.464051797573,12632972
2020-05-29,446.6288146972656,453.5507430347055,431.32524434654226,433.2087606974005,12662824
2020-06-01,438.2942810058594,455.52847411502216,431.60779172547973,455.34011097015144,18563612
2020-06-02,445.5458068847656,452.9856908619045,440.8840923330465,442.6263507382435,10978049
2020-06-03,448.4181823730469,453.55077630167176,445.4516496508921,447.2880897237493,7767457
2020-06-04,466.0290832519531,468.99561603910394,444.6040827200463,445.4516594106349,19100026
2020-06-05,465.4639892578125,481.23843907079856,463.5333964484143,471.8208570928964,22798341
2020-06-08,460.5198059082031,469.70194927753846,456.7998491496815,469.70194927753846,9176155
2020-06-09,471.5853576660156,482.8393781967517,463.3449744816369,463.3449744816369,25883378
2020-06-10,470.0785827636719,477.47139011406534,464.80473128656564,473.2334783674908,10636465
2020-06-11,446.0637512207031,465.040172587457,441.778763045693,461.46150303954823,18547382
2020-06-12,452.1380920410156,453.8332452092381,428.4999568075524,428.4999568075524,11498488
2020-06-15,457.5061340332031,460.89646938993695,445.16912428258587,452.9857060510115,10727187
2020-06-16,455.24591064453125,464.75767426506394,448.74778477670304,460.8964598757174,11247556
2020-06-17,457.36480712890625,461.22602101612694,451.196303183107,455.952170004814,8222223
2020-06-18,456.0464172363281,460.0488896643186,454.86921946338975,457.3648729939831,4077225
2020-06-19,459.6721496582031,463.2979242119221,456.9410568253341,458.4478468433464,8114839
2020-06-22,464.4751892089844,472.0092553519351,457.69451818425614,463.5334309411155,9203804
2020-06-23,471.3028869628906,473.7043587967031,460.9906235208473,464.47514024067175,10732649
2020-06-24,456.1876220703125,474.0810261342031,452.98565024902007,472.7625705301623,8567595
2020-06-25,459.24835205078125,463.81588478604993,449.2186335897377,452.32642396126863,6954147
2020-06-26,451.996826171875,462.4032420165013,444.6982006614312,461.6969234187164,7489306
2020-06-29,453.9274597167969,458.9658719160463,447.33515221053636,447.8060313181264,5727377
2020-06-30,445.4045715332031,455.76391218318395,442.43801008220044,455.2459279065765,8339357
2020-07-01,440.8840637207031,448.08850768202547,439.00054745681877,445.9224754746294,5983810
2020-07-02,445.45159912109375,447.2880389856344,440.6957320218973,440.7428084327101,3731827
2020-07-03,449.0774230957031,451.43181869886797,444.50988987752714,449.2186810838569,4666364
2020-07-06,452.2322998046875,453.2211344200777,443.94481038832697,450.1604202655525,5995257
2020-07-07,451.337646484375,457.6945147447183,448.41819012788477,452.04396517996867,6793452
2020-07-08,454.39837646484375,459.5780470773964,451.99690431327866,454.4454528834304,6279449
