Stock,Model,Seed,MAE,MSE,RMSE,MAPE,R2
Reliance,LSTM,16,18.02349516633269,583.8823115167077,24.16365683245621,1.4457837793786683,0.9727825496657305
Reliance,LSTM,42,34.31576508361024,1991.5665663668415,44.62697128830099,2.5828967935906366,0.9071638872452297
Reliance,LSTM,101,18.119996900682324,590.4635253568702,24.299455248150526,1.4492500621610238,0.9724757689030653
Reliance,LSTM,2024,25.957082376851663,1164.676974453286,34.127364012670036,1.9818259353948173,0.9457090288875065
Reliance,LSTM,7,23.906087305638696,932.1568474722301,30.531243791765675,1.8582493172064969,0.9565478655554397
Reliance,BiLSTM,16,24.21042365532417,985.5889253674392,31.39409061220661,1.8921755475431667,0.9540571497079396
Reliance,BiLSTM,42,21.859602098341114,794.0523619754845,28.178934720380834,1.709076073069305,0.9629855532551809
Reliance,BiLSTM,101,19.007954089672534,628.2070843290913,25.06405961389917,1.5032275335281537,0.9707163673567221
Reliance,BiLSTM,2024,29.10639121315696,1455.0667427418898,38.14533710352931,2.2066766547369956,0.9321726210531189
Reliance,BiLSTM,7,25.840946742466517,1085.9354151532102,32.95353418304644,1.995382520406393,0.9493795365175898
Infosys,LSTM,16,25.443428733132098,1128.8462753536828,33.59830762633265,1.80645430677953,0.9706275736773057
Infosys,LSTM,42,27.766647735199363,1400.980139057478,37.42966923521337,1.9417994869546829,0.9635466876115342
Infosys,LSTM,101,24.061381748744413,1043.9906832529105,32.310844669443576,1.6913432302850153,0.9728355046254479
Infosys,LSTM,2024,24.76559210442877,1117.7146519753449,33.432239709228945,1.7227010792256212,0.9709172170013532
Infosys,LSTM,7,23.566657128272112,1031.231558637911,32.112794313760844,1.6684261190760927,0.9731674953099888
Infosys,BiLSTM,16,25.268438364004158,1141.5450740915464,33.78675885745104,1.7692626296556946,0.9702971526638707
Infosys,BiLSTM,42,24.63011268516639,1103.1468056653707,33.21365390416072,1.7190594442916773,0.9712962703780285
Infosys,BiLSTM,101,23.029241784826496,984.7170257539811,31.380201174530114,1.6234050652390308,0.9743777971198077
Infosys,BiLSTM,2024,24.120003241997253,1064.3582768636425,32.62450423935424,1.685600625101734,0.9723055426140002
Infosys,BiLSTM,7,26.063056054053366,1199.3033403288812,34.63095927532013,1.8206417685890683,0.9687942904437237
HDFC Bank,LSTM,16,10.54057807426947,203.32938642248288,14.259361360961538,1.3912752710483265,0.9334153868641646
HDFC Bank,LSTM,42,15.58391620586443,364.7105907738539,19.097397486931403,2.015145149388993,0.8805676148416594
HDFC Bank,LSTM,101,10.940709101689322,224.78830503293784,14.992941840510749,1.4447952678107716,0.9263881990133064
HDFC Bank,LSTM,2024,12.805826657778239,276.03578405103315,16.614324664308,1.6543169458364135,0.9096061016261802
HDFC Bank,LSTM,7,13.501919535847435,286.8106755347395,16.93548568936656,1.756565745061496,0.906077629949526
HDFC Bank,BiLSTM,16,12.237448456999525,251.09243316467567,15.845896414045994,1.5870139260378189,0.9177743423232163
HDFC Bank,BiLSTM,42,11.210792937836077,217.06751437946605,14.733211271799032,1.4710683035093493,0.9289165391996875
HDFC Bank,BiLSTM,101,10.389399639971833,194.96499148522193,13.962986481595616,1.3670803373163947,0.9361544892182908
HDFC Bank,BiLSTM,2024,13.986040784166985,323.88693179490025,17.996858942462715,1.7975675182611135,0.8939362065033432
HDFC Bank,BiLSTM,7,10.696904665463915,203.4553601136367,14.263777904665954,1.4047277331336196,0.9333741340495156
Maruti,LSTM,16,167.29727371017654,53783.934970833645,231.91363687983863,1.5900841508077042,0.9768730801413391
Maruti,LSTM,42,574.1863300273944,567202.9500519648,753.1287738839652,5.15354873312517,0.7561045472674816
Maruti,LSTM,101,291.5198308771307,155187.36172752877,393.9382714684228,2.6548858197853034,0.9332699312592907
Maruti,LSTM,2024,344.2495347060166,221661.3844650531,470.80928672345993,3.098342596352803,0.9046863142857984
Maruti,LSTM,7,486.6519228452212,403544.7403311424,635.2517141504951,4.389754823205078,0.8264770535275363
Maruti,BiLSTM,16,305.0495074383624,166591.0442712481,408.15566181451914,2.7792473842098224,0.928366384272161
Maruti,BiLSTM,42,250.0198284991376,113911.30626707688,337.50749068291344,2.337353715990715,0.9510185029700287
Maruti,BiLSTM,101,342.5193774731128,212004.1644613588,460.43909962269584,3.096310796779522,0.9088388879716771
Maruti,BiLSTM,2024,331.4114276836445,207832.9189429616,455.8869585137983,2.980706519071037,0.9106325101911574
Maruti,BiLSTM,7,149.20619419642858,43717.22218892945,209.08663799709788,1.4392775684804588,0.9812017344109367
