Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2020-01-01,6945.3349609375,7038.661976772966,6917.170253808878,7007.362807310255,634725
2020-01-02,6962.576171875,6998.814512015528,6945.620482065356,6960.438911743073,616838
2020-01-03,6890.763671875,6964.617878097322,6863.929185369783,6961.720888974127,571967
2020-01-06,6689.5283203125,6848.730526280027,6674.425109973177,6839.231593511262,748516
2020-01-07,6719.16552734375,6806.555713385005,6674.330376805239,6744.242618401264,590500
2020-01-08,6682.689453125,6760.057983234566,6630.68279554582,6706.246621169079,793313
2020-01-09,6865.73486328125,6877.228666937923,6746.143369142696,6782.239320709498,798184
2020-01-10,6963.193359375,6981.621198018001,6871.908513616145,6897.555634645149,747847
2020-01-13,6984.28076171875,7000.713730539841,6915.033168013166,6964.61778457505,537399
2020-01-14,7016.671875,7040.989237047348,6958.538681406218,6986.465452586916,548522
2020-01-15,7108.0048828125,7128.949846402126,6984.566052044615,7018.714904722986,692726
2020-01-16,7088.720703125,7144.147066507707,7049.347906569368,7082.878952455088,640207
2020-01-17,7143.34033203125,7190.597525854979,7060.129582404737,7094.753380290076,750738
2020-01-20,7076.3251953125,7152.221576949947,7049.205463404759,7144.384957252778,407828
2020-01-21,6936.73828125,7062.124198056874,6922.632272846208,7040.134260713232,442561
2020-01-22,6778.05859375,7005.415643490878,6751.794137273669,6972.216687768999,1048435
2020-01-23,6788.98291015625,6858.230043175427,6766.23277871136,6787.367905921977,589326
2020-01-24,6771.26708984375,6848.730703046345,6754.928739533748,6790.597047475034,645723
2020-01-27,6790.59716796875,6862.979224345323,6707.196720152571,6745.667399541635,573149
2020-01-28,6646.45068359375,6858.182269761731,6614.107002476909,6820.186538022671,1614448
2020-01-29,6659.037109375,6759.678494478061,6625.50605993107,6658.752326898466,1001252
2020-01-30,6668.6787109375,6695.797979563332,6631.2052341228,6668.251073419576,579174
2020-01-31,6567.08740234375,6710.046345578397,6550.036631893713,6682.49943957305,868935
2020-02-03,6659.98681640625,6691.856015425389,6440.276678091212,6440.276678091212,1010531
2020-02-04,6838.85205078125,6853.4803151705,6650.203144353246,6668.251117463189,973311
2020-02-05,6688.10400390625,6869.248851511693,6673.57082115849,6853.4805291182665,718489
2020-02-06,6669.7705078125,6763.572465840035,6627.215012109453,6720.494714377795,875714
2020-02-07,6622.41845703125,6696.747605991367,6587.509879085124,6686.298779939465,645814
2020-02-10,6547.51953125,6638.899453582035,6507.814176251187,6625.5058650917335,593773
2020-02-11,6681.3115234375,6733.793124527946,6565.9468048357385,6601.757965223476,743160
2020-02-12,6690.38330078125,6753.741369478057,6656.804943646112,6702.542213321965,599364
2020-02-13,6654.04931640625,6702.446561499788,6578.010549657884,6696.747202178785,723169
2020-02-14,6567.37255859375,6733.746752454226,6555.214109053014,6649.300861289856,614859
2020-02-17,6560.67529296875,6630.254974470174,6535.265648188366,6573.26137870109,463548
2020-02-18,6441.32177734375,6582.760801956092,6398.291331041901,6578.011335288014,830678
2020-02-19,6418.0498046875,6511.471912838114,6292.663876561811,6506.769755007347,1033939
2020-02-20,6418.99951171875,6466.446407126972,6383.283428344749,6422.229056404591,682513
